,resolution_number,date,size,issue,legislation,outcome,text,contract,acuerdo_marco
3080,0803/2015,2015-09-11,148.2,Pliegos,TRLCSP,Desestimacion," Desestimacion.  Legitimacion de la Confederacion recurrente.  Se recurre contra la clausula de solvencia tecnica o profesional por resultar desproporcionada.  Se rechaza el argumento.  No resulta aplicable el articulo 78 del , en la redaccion, todavia no vigente (experiencia de cinco años), dada por la Ley 27/2013, de 27 de diciembre. ",Servicios,False
3081,0821/2015,2015-09-11,102.87,Adjudicacion,TRLCSP,Estimacion, Estimacion.  Exclusion por falta de aportacion de la documentacion exigida en los pliegos.  Doctrina TACRC.  Exclusion improcedente.  Retroaccion de actuaciones,Suministro,False
3082,0819/2015,2015-09-11,75.87,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Valoracion correcta.  Discrecionalidad tecnica del organo de contratacion Inadmision.  Inadmision.  Falta de interes legitimo, el recurrente no puede ser adjudicatario",Servicios,False
3083,0798/2015,2015-09-11,252.06,Exclusion,TRLCSP,Desestimacion," Desestimacion.  Compromiso de adscripcion de medios, art.  151. 2 .  El organo de contratacion considera que la empresa ofertante ha retirado su oferta por no haberse cumplimentado adecuadamente el requerimiento de la prueba de disposicion de los medios efectivos a adscribir a la ejecucion del contrato.  La acreditacion de la disposicion de medios corresponde al licitador que ha presentado la oferta economica mas ventajosa.  Caracter insubsanable de este tramite.  Doctrina del Tribunal.  Aplicacion a este tramite de los criterios de discrecionalidad tecnica del organo de contratacion para valorar las oferta: limitacion del control por parte del Tribunala la comprobacion de la correccion de los tramites procedimentales y de competencia,concurrencia de error material, adecuada motivacion y la no aplicacion de criterios arbitrarios o discriminatorios.  Mala fe",Servicios,False
3084,0802/2015,2015-09-11,92.02,Pliegos,,Desestimacion,None,Servicios,False
3085,0773/2015,2015-09-04,342.43,NaN,,Desestimacion,None,NaN,False
3086,0774/2015,2015-09-04,128.22,Adjudicacion,,NaN,None,Servicios,False
3087,0772/2015,2015-09-04,165.93,Exclusion,,NaN,None,Concesion de obra publica,False
3088,0767/2015,2015-09-04,134.39,Exclusion,,NaN,None,Suministro,False
3089,0794/2015,2015-09-04,58.63,Adjudicacion,,NaN,None,Servicios,False
3090,0768/2015,2015-09-04,212.51,Adjudicacion,,NaN,None,Concesion de obra publica,False
3091,0793/2015,2015-09-04,70.18,Pliegos,,NaN,None,Suministro,False
3092,0791/2015,2015-09-04,103.48,Adjudicacion,,NaN,None,Suministro,False
3093,0792/2015,2015-09-04,68.91,Pliegos,,NaN,None,Suministro,False
3094,0790/2015,2015-09-04,74.18,Adjudicacion,,NaN,None,Obras,False
3095,0787/2015,2015-09-04,141.92,Exclusion,,NaN,None,Servicios,False
3096,0788/2015,2015-09-04,78.01,Pliegos,,NaN,None,Suministro,False
3097,0789/2015,2015-09-04,97.83,Adjudicacion,,NaN,None,Servicios,False
3098,0782/2015,2015-09-04,147.97,Pliegos,,NaN,None,Servicios,False
3099,0783/2015,2015-09-04,89.72,Exclusion,,NaN,None,Servicios,False
3100,0784/2015,2015-09-04,109.33,Adjudicacion,,NaN,None,Servicios,False
3101,0785/2015,2015-09-04,226.89,Exclusion,,Desestimacion,None,Servicios,False
3102,0786/2015,2015-09-04,177.77,Adjudicacion,,NaN,None,Servicios,False
3103,0775/2015,2015-09-04,175.32,Exclusion,,NaN,None,Servicios,False
3104,0776/2015,2015-09-04,122.54,Exclusion,,NaN,None,Gestion de servicios publicos,False
3105,0777/2015,2015-09-04,198.18,NaN,,NaN,None,Suministro,True
3106,0778/2015,2015-09-04,153.7,Exclusion,TRLCSP,Desestimacion, Desestimacion.  Impugnacion indirecta de los pliegos improcedente.  Falta de motivacion.  Exclusion por incluir documentacion sometida a criterios objetivos de valoracion en sobre relativo a documentacion sometida a juicios de valor. ,Servicios,False
3107,0779/2015,2015-09-04,136.23,Pliegos,,NaN,None,Servicios,False
3108,0780/2015,2015-09-04,167.19,Adjudicacion,,NaN,None,Servicios,False
3109,0781/2015,2015-09-04,166.58,Adjudicacion,,NaN,None,Servicios,False
3110,0769/2015,2015-09-04,257.24,Adjudicacion,,NaN,None,Servicios,False
3111,0770/2015,2015-09-04,80.33,Exclusion,,NaN,None,Servicios,False
3112,0795/2015,2015-09-04,122.29,Exclusion,,NaN,None,Servicios,False
3113,0771/2015,2015-09-04,115.47,Exclusion,,NaN,None,Servicios,False
3114,0704/2015,2015-08-24,112.18,Pliegos,TRLCSP,Desestimacion," Desestimacion.  Se impugna la exclusion del procedimiento por incumplimiento de los pliegos, sobre el concepto de mejora, su definicion y su diferencia con las prescripciones tecnicas; imposibilidad de cuestionar los pliegos si no se han impugnado previamente.  Pliegos lex contractus",Servicios,False
3115,0756/2015,2015-08-18,193.5,Pliegos,,NaN,None,Servicios,False
3116,0757/2015,2015-08-18,203.41,Adjudicacion,,NaN,None,Servicios,False
3117,0766/2015,2015-08-18,314.53,Exclusion,,NaN,None,Servicios,False
3118,0764/2015,2015-08-18,195.34,Adjudicacion,,NaN,None,Servicios,False
3119,0765/2015,2015-08-18,188.9,Adjudicacion,,NaN,None,Suministro,False
3120,0763/2015,2015-08-18,198.45,Adjudicacion,,NaN,None,Servicios,False
3121,0761/2015,2015-08-18,188.2,Adjudicacion,,NaN,None,Servicios,False
3122,0762/2015,2015-08-18,191.68,Adjudicacion,,NaN,None,Suministro,False
3123,0760/2015,2015-08-18,307.47,Exclusion,,NaN,None,Suministro,False
3124,0758/2015,2015-08-18,205.5,Exclusion,,NaN,None,Servicios,False
3125,0759/2015,2015-08-18,328.65,Adjudicacion,,NaN,None,Servicios,False
3126,0740/2015,2015-07-30,137.22,Adjudicacion,TRLCSP,Inadmision,", , Lotes.  Inadmision Lote 8.  Falta de legitimacion del recurrente, que ningun beneficio puede obtener de la tramitacion del recurso, recurrente clasificado en tercer lugar.  Desestimacion Lote 6.  La oferta de la adjudicataria se ajusta a lo exigido en el pliego, pliego lex contractus",Suministro,False
3127,0741/2015,2015-07-30,142.66,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Medios materiales ofertados: mayor numero de unidades moviles que de centros fijos.  No cabe concluir que ello comporteinfraccion de las exigencias del pliego de prescripciones tecnicas,Servicios,False
3128,0742/2015,2015-07-30,100.11,Adjudicacion,TRLCSP,Inadmision," Inadmision.  Falta de legitimacion del recurrente, que ningun beneficio puede obtener de la tramitacion del recurso.  Recurrente clasificado en el puesto 13.  Multa mala fe",Servicios,False
3129,0733/2015,2015-07-30,135.01,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Capacidad y solvencia correcta al tener la adjudicataria habilitacion legal para prestar servicios de seguridad privada.  Explotacion Central receptora de alarmas y servicio de acuda, actividad accesoria prestada por empresa del grupo.  Medio propio de la adjudicataria, no hay subcontratacion",Servicios,False
3130,0734/2015,2015-07-30,206.16,Exclusion,TRLCSP,Estimacion," Estimacion.  Introduccion en el pliego de un tramitede posibilidad de requerir al adjudicatario del contrato documentacion adicional para comprobar que su oferta se ajusta al PPT.  Nulidad de pleno derecho, al poder utilizarse solo el tramite para contrastar contradiccion de la informacion contenida en la oferta con el pliego de prescripciones tecnicas y usarse en el caso planteado solo el criterio economico como criterio de adjudicacion.  Se acuerda anulacion de la exclusion con retroaccion",Suministro,False
3131,0735/2015,2015-07-30,123.37,Pliegos,TRLCSP,Desestimacion, Desestimacion.  Division en lotes.  No se admite.  Falta de justificacion,Suministro,False
3132,0736/2015,2015-07-30,150.55,Adjudicacion,,NaN,None,Suministro,False
3133,0737/2015,2015-07-30,184.71,Pliegos,TRLCSP,Estimacion," Estimacion.  Objeto y naturaleza del contrato, oscuridad de los pliegos.  Nulidad",Servicios,False
3134,0738/2015,2015-07-30,138.47,Exclusion,TRLCSP,Desestimacion," Desestimacion.  Lugar de presentacion de las ofertas, presentacion en lugar diferente al exigido en los pliegos, advertencia previa y no atencion de la misma.  Especialidad en materia de contratacion sobre el lugar de presentacion de las proposiciones.  Exclusion correcta",Servicios,False
3135,0739/2015,2015-07-30,246.13,Exclusion,TRLCSP,Estimacion,", , Lotes.  Estimacion.  Exclusion de un licitador por no superar el minimo de puntuacion de un criterio de adjudicacion evaluable mediante juicio de valor aunque referido a un caracter tecnico de la prestacion.  No aplicable la discrecionalidad tecnica porque la interpretacion del organo de contratacion se refiere a una caracteristica tecnica no exigida en el PPT ni el PCAP con claridad.  Interpretacion de los contratos.  Interpretacion literal, sistematica, clausulas oscuras. ",Suministro,True
3136,0731/2015,2015-07-30,148.43,Exclusion,LCSE,Desestimacion," Desestimacion.  Exclusion de UTE de la que forma parte la recurrente.  La recurrente manifiesta que no ha recibido comunicacion electronica pidiendo aclaraciones y subsanacion en relacion con la solvencia tecnica por haberla retirado el sistema Anti Spam.  Corresponde al licitador asumir las consecuencias de que su sistema de correo electronico haya impedido la entrega efectiva del mensaje, que sin embargo ha sido formalmente entregado en la direccion indicada",Servicios,False
3137,0732/2015,2015-07-30,83.29,Pliegos,,NaN,None,Servicios,False
3138,0728/2015,2015-07-30,137.47,Exclusion,TRLCSP,Desestimacion, Desestimacion.  Impugnacion de exclusion acordada por falta de acreditacion de la constitucion de garantia provisional.  Se esgrime la falta de justificacion en el Pliego de la exigencia de garantia provisional.  Desestimacion del recurso porque el motivo debio plantearse mediante la impugnacion del Pliego en el que asi se preveia.  Se aprecia mala fe,Servicios,False
3139,0729/2015,2015-07-30,186.14,NaN,TRLCSP,NaN," Recalificacion como recurso especial.  Estimacion.  Formalizacion del contrato sin notificacion de la adjudicacion, ausencia de motivacion.  Nulidad y retroaccion de actuaciones al momento de al adjudicacion. ",Servicios,False
3140,0725/2015,2015-07-30,119.64,Exclusion,TRLCSP,Desestimacion, Desestimacion.  Exclusion del licitador al haber incluido dentro de la documentacion administrativa la oferta economica. ,Servicios,False
3141,0730/2015,2015-07-30,263.84,Pliegos,TRLCSP,Estimacion Parcial, Estimacion parcial.  Clausulas admitidas: exigencia del modelo y marca del vehiculo a proporcionar; precio de licitacion.  Clausulas contrarias a derecho: certificado de calidad sin admitir otros equivalentes; exigencia de acreditacion de solvencia tecnica no incluida en ; identificacion del licitador; sistema de informacion. ,Servicios,False
3142,0752/2015,2015-07-30,112.08,Adjudicacion,TRLCSP,Inadmision," Inadmision.  Falta de legitimacion del recurrente, que ningun beneficio puede obtener de la tramitacion del recurso, recurrente clasificado en septimo lugar",Obras,False
3143,0753/2015,2015-07-30,91.45,Exclusion,TRLCSP,Inadmision, Inadmision.  Recurso extemporaneo. ,Servicios,False
3144,0754/2015,2015-07-30,78.66,Pliegos,TRLCSP,Inadmision, Inadmision.  Desistimiento de la licitacion. ,Suministro,False
3145,0755/2015,2015-07-30,70.9,Adjudicacion,LCSE,Inadmision, Inadmision.  Anexo II B. ,Servicios,False
3146,0726/2015,2015-07-30,232.83,Pliegos,TRLCSP,Desestimacion," Desestimacion.  Se impugnan las tarifas (precios maximos) por considerar que son inferiores al precio de mercado.  No se admite, doctrina TACRC, discrecionalidad, motivacion suficiente. ",Servicios,False
3147,0747/2015,2015-07-30,68.77,Pliegos,TRLCSP,Inadmision," Inadmision El recurso se inadmite por referirse a contratos no sujetos a regulacion armonizada y perdida sobrevenida de su objeto, por haberse anulado los pliegos",Suministro,False
3148,0748/2015,2015-07-30,105.03,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  El recurso se desestima porque la oferta adjudicataria no resulta desproporcionada de acuerdo con los criterios establecidos en los pliegos,Servicios,False
3149,0749/2015,2015-07-30,101.84,Pliegos,TRLCSP,Desestimacion," Desestimacion.  Se examina la procedencia de exigir clasificacion al amparo del articulo 65  en su redaccion vigente, procedencia de acuerdo con la disposicion transitoria cuarta del . La apertura del sobre relativo a la documentacion administrativa no ha de realizarse en acto publico.  No se aprecia incumplimiento del PPT en los terminos aducidos por la recurrente de forma generica.  Mala fe",Servicios,False
3150,0750/2015,2015-07-30,139.23,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  El recurso se desestima por referirse a la adjudicacion a una oferta desproporcionada que se justifico con argumentos suficientes.  Multa a la recurrente porfalta de fundamento en el recurso,Servicios,False
3151,0751/2015,2015-07-30,115.79,Exclusion,TRLCSP,Desestimacion, Desestimacion.  Examen de especificaciones tecnicas no amparadas en la discrecionalidad tecnica.  Procede la exclusion de la empresa recurrente por incumplimiento PPT,Servicios,False
3152,0743/2015,2015-07-30,132.47,Adjudicacion,,NaN,None,Suministro,False
3153,0744/2015,2015-07-30,135.23,Exclusion,TRLCSP,Desestimacion,", , Lotes.  Desestimacion.  Doctrina del Tribunal sobre la necesidad de requerir aclaraciones o subsanacion de la oferta cuando existan dudas respecto de la documentacion aportada.  Improcedencia de solicitar la subsanacion cuando se produce una total omision en la documentacion aportada con la oferta, puesto que puede suponer una modificacion de la misma.  Doctrina del TJUE. ",Suministro,False
3154,0745/2015,2015-07-30,163.45,Exclusion,,Estimacion,None,NaN,False
3155,0746/2015,2015-07-30,276.87,Exclusion,TRLCSP,Desestimacion, Desestimacion.  Incumplimiento de la acreditacion de disponibilidad de medios para la ejecucion del contrato (articulo 151. 2 ).  Retirada de la oferta por no cumplir los requisitos establecidos en los pliegos y en las ofertas de los licitadores. ,Servicios,False
3156,0727/2015,2015-07-30,211.7,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  No se aprecia inclusion de documentacion del sobre 3 (oferta valorable mediante formulas) en el sobre 2 (oferta sujeta a juicio de valor) que determine la exclusion de la empresa adjudicataria, la informacion incluida no permite conocer la valoracion de criterios evaluables mediante formula.  Motivacion suficiente del informe tecnico de valoracion.  Confidencialidad y acceso al expediente. ",Servicios,False
3157,0690/2015,2015-07-24,171.94,Exclusion,TRLCSP,Desestimacion," Desestimacion.  UTEs.  Integracion de la solvencia.  Falta de solvencia, una de las empresas integrantes de la UTE no acredita un minimo de solvencia",Servicios,False
3158,0714/2015,2015-07-24,75.49,Adjudicacion,TRLCSP,Inadmision, Inadmision.  Recurso extemporaneo,Suministro,False
3159,0715/2015,2015-07-24,318.2,Exclusion,TRLCSP,Estimacion, Estimacion.  Introduccion en el pliego de un tramite en el procedimiento de contratacion no recogido en el .  Nulidad de pleno derecho de la clausula.  Exclusion incorrecta,Suministro,False
3160,0723/2015,2015-07-24,65.23,Pliegos,TRLCSP,Inadmision, Inadmision.  Recurso extemporaneo. ,Servicios,False
3161,0716/2015,2015-07-24,80.1,Pliegos,TRLCSP,Inadmision, Inadmision.  Recurso extemporaneo. ,Suministro,False
3162,0717/2015,2015-07-24,64.6,Pliegos,TRLCSP,Inadmision, Inadmision por perdida de objeto del recurso.  Se han modificado los pliegos en los terminos solicitados para no limitar el suministro a una marca determinada. ,Suministro,False
3163,0718/2015,2015-07-24,169.52,Adjudicacion,TRLCSP,Estimacion Parcial," Estimacion parcial.  Indefension por no haber podido la recurrente examinar el expediente ante la declaracion de la adjudicataria de ser confidencial toda la documentacion por ella presentada.  El caracter confidencial no puede extenderse a toda la documentacion, pesando sobre el organo de contratacion la obligacion de revisar esta incorrecta calificacion.  Retroaccion de actuaciones",Servicios,False
3164,0719/2015,2015-07-24,147.0,Exclusion,TRLCSP,Inadmision," Inadmision.  Inclusion por la UTE recurrente de informacion relativa a la oferta economica (sobre C) en el sobre B, relativo a criterios no evaluables mediante formula.  La decision de la Mesa de excluir a la recurrente de la licitacion es ajustada a Derecho.  Falta de legitimacion del licitador excluido para impugnar otro tipo de actos del procedimiento de contratacion de que se encuentra excluido. ",Servicios,False
3165,0691/2015,2015-07-24,63.2,Pliegos,TRLCSP,Inadmision, Inadmision.  Desistimiento del recurrente. ,Servicios,False
3166,0712/2015,2015-07-24,93.58,Adjudicacion,TRLCSP,Estimacion Parcial," Estimacion parcial.  Falta de notificacion de la resolucion de adjudicacion.  Insuficiencia del contenido del anuncio de adjudicacion publicado en la Plataforma de Contratacion del Sector Publico, del que la actora admite ser conocedora,para subvenir a dicha falta de notificacion, por no incorporar las menciones del articulo 151. 4  .  Retroaccion de actuaciones para la practica de notificacion debidamente motivada",Suministro,False
3167,0688/2015,2015-07-24,127.48,Pliegos,TRLCSP,Desestimacion, Desestimacion.  Asignacion de puntos a la inclusion del uso de la licencia de un software determinado.  Discrecionalidad del organo de contratacion para definir la necesidad del interes publico a satisfacer con el objeto del contrato.  No se vulnera el principio de igualdad ni de libre concurrencia.  Se trata de una mejora prevista y valorada por el Pliego,Suministro,False
3168,0689/2015,2015-07-24,213.35,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Error material en el acuerdo de adjudicacion.  Introduccion de subcriterios en el informe de valoracion tecnica.  Impugnacion indirecta de pliegos,Servicios,False
3169,0713/2015,2015-07-24,123.95,Exclusion,TRLCSP,Estimacion, Estimacion.  El recurso se estima por referirse a una oferta desproporcionada que se justifico con argumentos suficientes y que se excluyo sin motivar,Servicios,False
3170,0693/2015,2015-07-24,241.02,Adjudicacion,,NaN,None,Servicios,False
3171,0705/2015,2015-07-24,164.65,Exclusion,TRLCSP,Estimacion," Estimacion.  Exclusion del licitador al haber incluido dentro de la documentacion administrativa la oferta economica.  Se estima el recurso porque los PCAP solo preven la valoracion de criterios de adjudicacion de aplicacion automatica o mediante formulas, noexistiendocriterios que dependan de un juicio de valor que hubiesen tenido que ser examinados previamente a los de aplicacion automatica.  El error cometido por la licitadora no tendria trascendencia en la valoracion ni en el resultado de la licitacion, no infringiendose, en definitiva el articulo 150. 2 del , y por ello tampoco los principios de igualdad ni trasparencia. ",Servicios,False
3172,0706/2015,2015-07-24,120.32,Exclusion,TRLCSP,Estimacion, Estimacion.  Participacion de un licitador en la documentacion preparatoria del contrato.  Aplicacion art.  56. 1 .  Exclusion incorrecta del licitador porque tiene que ponerse a disposicion de los licitadores dicha documentacion.  Retroaccion a la fase de formulacion de ofertas,Servicios,False
3173,0707/2015,2015-07-24,157.41,Adjudicacion,TRLCSP,Inadmision," Inadmision, Feria Internacional de Muestras de Valencia a Veolia, poder no adjudicador. ",Servicios,False
3174,0708/2015,2015-07-24,205.91,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Impugnacion de adjudicacion e impugnacion indirecta de los pliegos.  Legitimacion de licitadora excluida.  Admision.  Caracter generico de las mejoras, desestimacion.  Inadecuacion de la oferta de la adjudicataria a las exigencias delpliego, desestimacion. ",NaN,False
3175,0709/2015,2015-07-24,61.07,Pliegos,TRLCSP,Inadmision, Inadmision.  Recurso extemporaneo,Servicios,False
3176,0710/2015,2015-07-24,206.45,Adjudicacion,TRLCSP,Estimacion Parcial," Estimacion parcial.  Falta de anuncio del recurso.  Valoracion de criterios no automaticos, adopcion de un criterio interpretativo por la Mesa durante la fase de proposiciones, falta de notificacion a todos los licitadores.  Vulneracion del principio de igualdad y no discriminacion.  Retroaccion de las actuaciones",Servicios,False
3177,0711/2015,2015-07-24,135.07,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Valoracion correcta de las ofertas, discrecionalidad tecnica.  No se aprecia error o arbitrariedad.  Indemnizacion, no procede. ",Servicios,False
3178,0701/2015,2015-07-24,84.79,Adjudicacion,TRLCSP,Inadmision," Inadmision.  Falta de legitimacion del licitador cuya oferta ha quedado clasificada en septimo lugar.  Impugnacion indirecta de pliegos, pliegos lex contractus",Servicios,False
3179,0696/2015,2015-07-24,233.91,Pliegos,TRLCSP,Estimacion Parcial," Estimacion parcial.  Se impugna la insuficiente dotacion presupuestaria para cubrir los costes del servicio, subrogacion de personal.  Doctrina TACRC.  No se acredita la insuficiencia.  Los costes de personal a asumir por subrogacion conforme Convenio Colectivo vigente no son determinantes.  Impugnacion de clausulas por discriminatorias al favorecer al actual prestador del servicio.  Estimacion en parte: se declaran nulas (art.  32 ) las clausulas que obligan a los licitadores a incluir datos en sus ofertas que solo conoce el licitador, y las que preven una mayor puntuacion a las ofertas que mas se adapten al actual contrato, por discriminatorias. ",Servicios,False
3180,0699/2015,2015-07-24,87.83,Adjudicacion,TRLCSP,Inadmision," Inadmision.  Acto de tramite no recurrible.  Falta de legitimacion del recurrente, que ningun beneficio puede obtener de la tramitacion del recurso.  Recurrente excluido, exclusion confirmada por resolucion TACRC",Servicios,False
3181,0700/2015,2015-07-24,139.92,Exclusion,TRLCSP,Estimacion," Estimacion.  Exclusion por incorporacion de documentos en sobre 2 en lugar de sobre 1.  No vulnera objetividad e imparcialidad del organo de contratacion.  Exclusion incorrecta, defecto subsanable",Suministro,False
3182,0702/2015,2015-07-24,147.55,Adjudicacion,TRLCSP,Estimacion," Estimacion.  Actos publicos de apertura de las ofertas tecnicas de criterios sujetos a juicio de valor y de criterios evaluables mediante formula, ausencia de publicidad, doctrina TACRC, nulidad plena",Suministro,False
3183,0694/2015,2015-07-24,95.45,Adjudicacion,TRLCSP,Inadmision," Inadmision.  Falta de legitimacion del recurrente, que ningun beneficio puede obtener de la tramitacion del recurso.  Recurrente excluido, exclusion confirmada por resolucion TACRC",Suministro,False
3184,0695/2015,2015-07-24,139.91,Pliegos,TRLCSP,Desestimacion," Desestimacion.  Se impugna la insuficiente dotacion presupuestaria para cubrir los costes del servicio, subrogacion de personal.  Doctrina TACRC.  No se acredita la insuficiencia.  Los costes de personal a asumir por subrogacion conforme Convenio Colectivo vigente no son determinantes",Servicios,False
3185,697./2015,2015-07-24,162.67,Adjudicacion,TRLCSP,Estimacion," Estimacion.  Anulacion del acto de adjudicacion por no haber acreditado la empresa adjudicataria el cumplimiento de los requisitos de solvencia tecnica, procede su exclusion",Suministro,False
3186,0698/2015,2015-07-24,98.5,Pliegos,TRLCSP,Desestimacion," Desestimacion.  Se impugna la insuficiente dotacion presupuestaria para cubrir los costes del servicio, subrogacion de personal.  Doctrina TACRC.  No se acredita la insuficiencia.  Los costes de personal a asumir por subrogacion conforme Convenio Colectivo vigente no son determinantes",Servicios,False
3187,0687/2015,2015-07-24,251.81,Pliegos,TRLCSP,Estimacion Parcial, Estimacion parcial.  Legitimacion asociacion.  No existe clausula de derecho de preferencia a favor de los concesionarios de lineas.  Clausula de modificacion de los pliegos no ajustada a derecho,Servicios,True
3188,0724/2015,2015-07-24,97.36,Pliegos,TRLCSP,Inadmision, Inadmision.  Recurso extemporaneo. ,Servicios,True
3189,0722/2015,2015-07-24,69.04,Adjudicacion,TRLCSP,Inadmision, Inadmision.  Contrato no SARA,Suministro,False
3190,0720/2015,2015-07-24,98.96,Adjudicacion,TRLCSP,Inadmision, Inadmision.  Contrato no SARA,Servicios,False
3191,0721/2015,2015-07-24,86.07,Exclusion,TRLCSP,Inadmision, Inadmision.  Contrato no SARA,Servicios,False
3192,0703/2015,2015-07-24,248.24,Adjudicacion,,Estimacion,None,Gestion de servicios publicos,False
3193,0692/2015,2015-07-24,129.81,Adjudicacion,LCSE,Inadmision," Inadmision.  Contrato excluido del ambito de aplicacion de la , art.  18. 3. j).  Tampoco cabe recurso especial, contrato no sometido a TRLCSP",Servicios,False
3194,0681/2015,2015-07-22,134.33,Exclusion,TRLCSP,Inadmision, Inadmision.  Recurso extemporaneo. ,Suministro,False
3195,0682/2015,2015-07-17,177.33,Adjudicacion,TRLCSP,Estimacion, Estimacion.  El recurso se refiere a una oferta desproporcionada que se justifico con argumentos suficientes.  Exclusion incorrecta. ,Suministro,False
3196,0683/2015,2015-07-17,118.32,Adjudicacion,TRLCSP,Estimacion," Estimacion.  Aplicacion arbitraria de laformula para valorar la oferta economica, sin ceñirse a la literalidad de la formula especificada en el PCAP. ",Servicios,False
3197,0677/2015,2015-07-17,136.75,Adjudicacion,,NaN,None,Suministro,False
3198,0678/2015,2015-07-17,100.48,Adjudicacion,TRLCSP,Inadmision," Inadmision.  Falta de legitimacion del recurrente, que ningun beneficio puede obtener de la tramitacion del recurso. ",Servicios,False
3199,0679/2015,2015-07-17,62.97,Exclusion,TRLCSP,Desestimacion, Desestimacion.  Incumplimiento de los requisitos de solvencia tecnica o profesional por falta de justificacion de la experiencia en empresa de nueva creacion. ,Servicios,False
3200,0680/2015,2015-07-17,73.97,Adjudicacion,TRLCSP,Inadmision, Inadmision.  Recurso extemporaneo. ,Suministro,False
3201,0671/2015,2015-07-17,129.9,Adjudicacion,TRLCSP,Inadmision," Inadmision, existe resolucion anterior del TACRC que desestima el recursos, perdida de objeto del recurso pues reproduce los argumentos del recurso anterior. ",Servicios,False
3202,0672/2015,2015-07-17,182.5,NaN,TRLCSP,Estimacion," Estimacion.   vs Ley 24/2011.  Restriccion del objeto del suministro a un unico fabricante.  Infraccion art.  117. 8 , doctrina del Tribunal. ",Suministro,False
3203,0673/2015,2015-07-17,121.34,Exclusion,TRLCSP,Estimacion,", , Lotes.  Estimacion.  Exclusion incorrecta que determina la retroaccion de actuaciones para valorar oferta sujeta a criterios sujetos a juicio de valor cuando se han valorado las ofertas economicas.  Ruptura de los principios de secreto e igualdad de trato.  Jurisprudencia TJUE y doctrina TACRC.  Nulidad del procedimiento. ",Suministro,True
3204,0674/2015,2015-07-17,118.94,Pliegos,TRLCSP,Estimacion," Estimacion.  Falta de informacion sobre subrogacion de trabajadores, obligacion de ofrecer informacion en aplicacion de principios de contratacion (art.  120 ).  Apariencia de subrogacion en el convenio colectivo. ",Servicios,False
3205,0675/2015,2015-07-17,129.3,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Recurso en plazo por referir el inicio a la fecha en que se recibio la notificacion de exclusion.  El recurso se desestima por referirse a una oferta desproporcionada que se justifico con argumentos erroneos. ,Servicios,False
3206,0676/2015,2015-07-17,84.88,Pliegos,TRLCSP,Inadmision, Inadmision.  Recurso extemporaneo. ,Suministro,False
3207,0665/2015,2015-07-17,113.95,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Omision o declaracion contraria por un licitador en la documentacion que presenta de que no forma parte de un grupo empresarial, resultando adjudicatario del contrato de servicio.  Impugnacion por otro licitador de la adjudicacion del contrato, alegando el incumplimiento formal de esa informacion, y que ello debe provocar la exclusion de su oferta.  El recurrente no analiza la oferta economica del adjudicatario ni la del otro licitador que forma parte del grupo empresarial, para ver si se ha alterado el precio de adjudicacion, o si hay colusion o fraude.  Se mantiene la legalidad de la adjudicacion en base al art.  86 del RGLCAP. ",Servicios,False
3208,0666/2015,2015-07-17,318.58,Adjudicacion,TRLCSP,Estimacion Parcial," Estimacion parcial.  No se aprecia en la oferta de la adjudicataria inclusion de documentacion del sobre 2 (oferta valorable mediante formulas) en el sobre 1 (documentacion administrativa).  Se observa que la adjudicataria acredita, en plazo de subsanacion, la solvencia tecnica a traves de la de un tercero sin justificar la integracion de solvencia en los terminos del art 63 , procede su exclusion. ",Suministro,False
3209,0667/2015,2015-07-17,127.64,"Desistimiento, Desierta, Desierto",TRLCSP,Estimacion," Estimacion.  Desistimiento no ajustado a derecho, interpretacion del pliego Vs ofertas.  No concurren los requisitos previstos en el art.  155  para acordar el desistimiento. ",Suministro,False
3210,0668/2015,2015-07-17,132.43,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  El objeto social de la adjudicataria guarda relacion con el objeto del contrato, doctrina TACRC y JCCA, y acredita solvencia segun lo exigido en el pliego. ",Suministro,False
3211,0659/2015,2015-07-17,170.43,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Error en la oferta economica, art.  84 RGLCAP, error subsanable a partir de la documentacion presentada con la oferta, doctrina defectos subsanables.  Criterios de adjudicacion, mejoras, discrecionalidad tecnica.  Aplicacion correcta en la valoracion de las ofertas, error en un criterio que no afecta a la adjudicacion. ",Servicios,False
3212,0670/2015,2015-07-17,108.29,Exclusion,TRLCSP,Desestimacion," Desestimacion.  Criterios de adjudicacion, discrecionalidad tecnica.  Valoracion correcta de las ofertas, el recurrente no acredita error o arbitrariedad en la valoracion. ",Suministro,True
3213,0662/2015,2015-07-17,98.25,Adjudicacion,TRLCSP,Inadmision, Inadmision.  Recurso extemporaneo. ,Servicios,False
